"","x"
"1","STAP1"
"2","CYBA"
"3","HEBP2"
"4","EYA2"
"5","PGR"
"6","NOS1"
"7","GSTZ1"
"8","OLFM4"
"9","CRYM"
"10","PYCARD"
"11","CAV1"
"12","DAO"
"13","PERP"
"14","TNNC1"
"15","ACADL"
"16","KYNU"
"17","SPR"
"18","RGS2"
"19","RAB32"
"20","P4HA1"
"21","G0S2"
"22","HIF3A"
"23","TMEM160"
"24","ENOSF1"
"25","MGARP"
"26","CASP1"
"27","CYP1B1"
"28","VAMP1"
"29","BCL2A1"
"30","AZIN2"
"31","SLC25A48"
"32","PRSS35"
"33","GNRH1"
"34","GSDMC"
"35","STOM"
"36","ADAM12"
"37","GJA1"
"38","SPHKAP"
"39","SLC16A1"
"40","SLC25A45"
"41","TERT"
"42","GPER1"
"43","CYBB"
"44","SPATA19"
"45","GPD1"
"46","KLK6"
"47","DDIT4"
"48","SHOX2"
"49","HOXB9"
"50","NXNL1"
"51","CNP"
"52","CIDEA"
"53","TYMS"
"54","TH"
"55","HCLS1"
"56","SLC25A21"
"57","PLA2G2A"
"58","GIMAP5"
"59","CASP4"
"60","KANK2"
"61","PLN"
"62","MRPS6"
"63","PDF"
"64","NEFH"
"65","MOBP"
"66","ACSM1"
"67","CLIC1"
"68","COX6B2"
"69","FGR"
"70","HK2"
"71","HK3"
"72","HSD3B1"
"73","HSPA1A"
"74","HSPA1B"
"75","OXCT2"
"76","SDSL"
"77","TIMM23B"
